id,created_at,restaurant_name,city,state,scores,reviewer_id,comment
1,2023-10-27T10:00:00Z,The Italian Place,New York,NY,9,1,"Excellent pasta and friendly service!"
2,2023-10-27T10:15:00Z,Burger Joint,Los Angeles,CA,7,2,"Good burgers, but a bit pricey."
3,2023-10-27T10:30:00Z,Sushi House,San Francisco,CA,8,3,"Fresh sushi and great atmosphere."
4,2023-10-27T10:45:00Z,Taco Truck,Austin,TX,10,4,"Amazing tacos, best I've ever had!"
5,2023-10-27T11:00:00Z,Pizza Palace,Chicago,IL,6,5,"Decent pizza, but nothing special."
6,2023-10-27T11:15:00Z,Steakhouse,New York,NY,8,6,"Great steak, cooked perfectly."
7,2023-10-27T11:30:00Z,Seafood Restaurant,Seattle,WA,9,7,"Fresh seafood and beautiful view."
8,2023-10-27T11:45:00Z,Cafe Bistro,Paris,France,7,8,"Charming cafe with delicious pastries."
9,2023-10-27T12:00:00Z,Ramen Shop,Tokyo,Japan,9,9,"Authentic ramen, highly recommend."
10,2023-10-27T12:15:00Z,Indian Curry House,London,UK,8,10,"Flavorful curry and friendly staff."
11,2023-10-27T12:30:00Z,Thai Restaurant,Bangkok,Thailand,9,11,"Authentic Thai food, great value."
12,2023-10-27T12:45:00Z,Mexican Cantina,Mexico City,Mexico,8,12,"Delicious tacos and lively atmosphere."
13,2023-10-27T13:00:00Z,The French Laundry,Yountville,CA,10,13,"Exceptional fine dining experience."
14,2023-10-27T13:15:00Z,Noma,Copenhagen,Denmark,9,14,"Innovative and creative cuisine."
15,2023-10-27T13:30:00Z,Alinea,Chicago,IL,10,15,"Modernist cuisine at its best."
16,2023-10-27T13:45:00Z,El Celler de Can Roca,Girona,Spain,9,16,"Amazing culinary journey."
17,2023-10-27T14:00:00Z,Osteria Francescana,Modena,Italy,10,17,"Unforgettable Italian dining experience."
18,2023-10-27T14:15:00Z,Mirazur,Menton,France,9,18,"Stunning views and exquisite food."
19,2023-10-27T14:30:00Z,Central,Lima,Peru,8,19,"Unique Peruvian cuisine with a modern twist."
20,2023-10-27T14:45:00Z,Maido,Lima,Peru,9,20,"Japanese-Peruvian fusion done right."
21,2023-10-27T15:00:00Z,The Grill,New York,NY,8,21,"Classic steakhouse with a great atmosphere."
22,2023-10-27T15:15:00Z,Pizza Express,London,UK,7,22,"Good pizza, quick service."
23,2023-10-27T15:30:00Z,Ramen Nagi,Los Angeles,CA,9,23,"Delicious ramen with customizable options."
24,2023-10-27T15:45:00Z,Din Tai Fung,Seattle,WA,8,24,"Amazing soup dumplings and noodles."
25,2023-10-27T16:00:00Z,Shake Shack,New York,NY,7,25,"Tasty burgers and crinkle fries."
26,2023-10-27T16:15:00Z,In-N-Out Burger,Los Angeles,CA,8,26,"Classic California burgers, always a good choice."
27,2023-10-27T16:30:00Z,The Cheesecake Factory,Chicago,IL,6,27,"Huge portions, but the food is just okay."
